National - Regional - LA - OAs,Month,People on Universal Credit,dttm
Haringey,January 2020,13583,2020-01-01
Haringey,February 2020,14495,2020-02-01
Haringey,March 2020,15134,2020-03-01
Haringey,April 2020,20350,2020-04-01
Haringey,May 2020,32128,2020-05-01
Haringey,June 2020,34264,2020-06-01
Haringey,July 2020,35127,2020-07-01
Haringey,August 2020,35752,2020-08-01
Haringey,September 2020,36815,2020-09-01
Haringey,October 2020,37589,2020-10-01
Haringey,November 2020,39033,2020-11-01
Haringey,December 2020,40371,2020-12-01
Haringey,January 2021,40830,2021-01-01
Haringey,February 2021,41627,2021-02-01
Haringey,March 2021,42018,2021-03-01
Haringey,April 2021,42044,2021-04-01
Haringey,May 2021,41846,2021-05-01
Haringey,June 2021,41271,2021-06-01
Haringey,July 2021,40869,2021-07-01
Haringey,August 2021,40651,2021-08-01
Haringey,September 2021,40080,2021-09-01
Haringey,October 2021,39506,2021-10-01
Haringey,November 2021,39029,2021-11-01
Haringey,December 2021,38381,2021-12-01
Haringey,January 2022,37785,2022-01-01
Haringey,February 2022,37621,2022-02-01
Haringey,March 2022,37151,2022-03-01
Haringey,April 2022,36907,2022-04-01
Haringey,May 2022,36685,2022-05-01
Haringey,June 2022,36858,2022-06-01
Haringey,July 2022,36935,2022-07-01
Haringey,August 2022,36834,2022-08-01
Haringey,September 2022,36556,2022-09-01
Haringey,October 2022,36617,2022-10-01
Haringey,November 2022,36629,2022-11-01
Haringey,December 2022,36512,2022-12-01
Haringey,January 2023,36502,2023-01-01
Haringey,February 2023,36785,2023-02-01
Haringey,March 2023,36823,2023-03-01
Haringey,April 2023,37032,2023-04-01
Haringey,May 2023,37265,2023-05-01
Haringey,June 2023,37540,2023-06-01
Haringey,July 2023,37811,2023-07-01
Haringey,August 2023,37928,2023-08-01
Haringey,September 2023,38065,2023-09-01
Haringey,October 2023,38513,2023-10-01
Haringey,November 2023,39157,2023-11-01
Haringey,December 2023,39974,2023-12-01
Islington,January 2020,9989,2020-01-01
Islington,February 2020,10442,2020-02-01
Islington,March 2020,10836,2020-03-01
Islington,April 2020,14362,2020-04-01
Islington,May 2020,20340,2020-05-01
Islington,June 2020,21275,2020-06-01
Islington,July 2020,21809,2020-07-01
Islington,August 2020,22176,2020-08-01
Islington,September 2020,22710,2020-09-01
Islington,October 2020,23155,2020-10-01
Islington,November 2020,23920,2020-11-01
Islington,December 2020,24671,2020-12-01
Islington,January 2021,24831,2021-01-01
Islington,February 2021,25106,2021-02-01
Islington,March 2021,25266,2021-03-01
Islington,April 2021,25347,2021-04-01
Islington,May 2021,25357,2021-05-01
Islington,June 2021,25282,2021-06-01
Islington,July 2021,25118,2021-07-01
Islington,August 2021,24952,2021-08-01
Islington,September 2021,24751,2021-09-01
Islington,October 2021,24471,2021-10-01
Islington,November 2021,24130,2021-11-01
Islington,December 2021,23889,2021-12-01
Islington,January 2022,23617,2022-01-01
Islington,February 2022,23570,2022-02-01
Islington,March 2022,23453,2022-03-01
Islington,April 2022,23554,2022-04-01
Islington,May 2022,23501,2022-05-01
Islington,June 2022,23617,2022-06-01
Islington,July 2022,23781,2022-07-01
Islington,August 2022,23827,2022-08-01
Islington,September 2022,23822,2022-09-01
Islington,October 2022,24005,2022-10-01
Islington,November 2022,24101,2022-11-01
Islington,December 2022,24188,2022-12-01
Islington,January 2023,24194,2023-01-01
Islington,February 2023,24402,2023-02-01
Islington,March 2023,24446,2023-03-01
Islington,April 2023,24690,2023-04-01
Islington,May 2023,24875,2023-05-01
Islington,June 2023,25104,2023-06-01
Islington,July 2023,25350,2023-07-01
Islington,August 2023,25322,2023-08-01
Islington,September 2023,25479,2023-09-01
Islington,October 2023,25809,2023-10-01
Islington,November 2023,26028,2023-11-01
Islington,December 2023,26480,2023-12-01
Kensington and Chelsea,January 2020,4495,2020-01-01
Kensington and Chelsea,February 2020,4683,2020-02-01
Kensington and Chelsea,March 2020,4858,2020-03-01
Kensington and Chelsea,April 2020,6273,2020-04-01
Kensington and Chelsea,May 2020,9009,2020-05-01
Kensington and Chelsea,June 2020,9493,2020-06-01
Kensington and Chelsea,July 2020,9721,2020-07-01
Kensington and Chelsea,August 2020,9929,2020-08-01
Kensington and Chelsea,September 2020,10132,2020-09-01
Kensington and Chelsea,October 2020,10294,2020-10-01
Kensington and Chelsea,November 2020,10679,2020-11-01
Kensington and Chelsea,December 2020,10948,2020-12-01
Kensington and Chelsea,January 2021,11114,2021-01-01
Kensington and Chelsea,February 2021,11260,2021-02-01
Kensington and Chelsea,March 2021,11394,2021-03-01
Kensington and Chelsea,April 2021,11416,2021-04-01
Kensington and Chelsea,May 2021,11475,2021-05-01
Kensington and Chelsea,June 2021,11372,2021-06-01
Kensington and Chelsea,July 2021,11218,2021-07-01
Kensington and Chelsea,August 2021,11064,2021-08-01
Kensington and Chelsea,September 2021,11027,2021-09-01
Kensington and Chelsea,October 2021,11116,2021-10-01
Kensington and Chelsea,November 2021,11114,2021-11-01
Kensington and Chelsea,December 2021,10980,2021-12-01
Kensington and Chelsea,January 2022,10791,2022-01-01
Kensington and Chelsea,February 2022,10668,2022-02-01
Kensington and Chelsea,March 2022,10517,2022-03-01
Kensington and Chelsea,April 2022,10429,2022-04-01
Kensington and Chelsea,May 2022,10386,2022-05-01
Kensington and Chelsea,June 2022,10440,2022-06-01
Kensington and Chelsea,July 2022,10472,2022-07-01
Kensington and Chelsea,August 2022,10501,2022-08-01
Kensington and Chelsea,September 2022,10420,2022-09-01
Kensington and Chelsea,October 2022,10484,2022-10-01
Kensington and Chelsea,November 2022,10512,2022-11-01
Kensington and Chelsea,December 2022,10532,2022-12-01
Kensington and Chelsea,January 2023,10516,2023-01-01
Kensington and Chelsea,February 2023,10516,2023-02-01
Kensington and Chelsea,March 2023,10522,2023-03-01
Kensington and Chelsea,April 2023,10544,2023-04-01
Kensington and Chelsea,May 2023,10591,2023-05-01
Kensington and Chelsea,June 2023,10641,2023-06-01
Kensington and Chelsea,July 2023,10716,2023-07-01
Kensington and Chelsea,August 2023,10720,2023-08-01
Kensington and Chelsea,September 2023,10797,2023-09-01
Kensington and Chelsea,October 2023,10949,2023-10-01
Kensington and Chelsea,November 2023,11083,2023-11-01
Kensington and Chelsea,December 2023,11302,2023-12-01
Lambeth,January 2020,16896,2020-01-01
Lambeth,February 2020,17541,2020-02-01
Lambeth,March 2020,18099,2020-03-01
Lambeth,April 2020,23290,2020-04-01
Lambeth,May 2020,33263,2020-05-01
Lambeth,June 2020,34937,2020-06-01
Lambeth,July 2020,35973,2020-07-01
Lambeth,August 2020,36769,2020-08-01
Lambeth,September 2020,37651,2020-09-01
Lambeth,October 2020,38329,2020-10-01
Lambeth,November 2020,39651,2020-11-01
Lambeth,December 2020,40669,2020-12-01
Lambeth,January 2021,41037,2021-01-01
Lambeth,February 2021,41400,2021-02-01
Lambeth,March 2021,41629,2021-03-01
Lambeth,April 2021,41539,2021-04-01
Lambeth,May 2021,41475,2021-05-01
Lambeth,June 2021,41016,2021-06-01
Lambeth,July 2021,40702,2021-07-01
Lambeth,August 2021,40498,2021-08-01
Lambeth,September 2021,39763,2021-09-01
Lambeth,October 2021,39033,2021-10-01
Lambeth,November 2021,38303,2021-11-01
Lambeth,December 2021,37608,2021-12-01
Lambeth,January 2022,36764,2022-01-01
Lambeth,February 2022,36503,2022-02-01
Lambeth,March 2022,36200,2022-03-01
Lambeth,April 2022,35832,2022-04-01
Lambeth,May 2022,35558,2022-05-01
Lambeth,June 2022,35492,2022-06-01
Lambeth,July 2022,35631,2022-07-01
Lambeth,August 2022,35630,2022-08-01
Lambeth,September 2022,35567,2022-09-01
Lambeth,October 2022,35623,2022-10-01
Lambeth,November 2022,35487,2022-11-01
Lambeth,December 2022,35460,2022-12-01
Lambeth,January 2023,35442,2023-01-01
Lambeth,February 2023,35454,2023-02-01
Lambeth,March 2023,35506,2023-03-01
Lambeth,April 2023,35688,2023-04-01
Lambeth,May 2023,35761,2023-05-01
Lambeth,June 2023,35967,2023-06-01
Lambeth,July 2023,36384,2023-07-01
Lambeth,August 2023,36511,2023-08-01
Lambeth,September 2023,36775,2023-09-01
Lambeth,October 2023,37084,2023-10-01
Lambeth,November 2023,37439,2023-11-01
Lambeth,December 2023,38257,2023-12-01
Lewisham,January 2020,16094,2020-01-01
Lewisham,February 2020,16825,2020-02-01
Lewisham,March 2020,17422,2020-03-01
Lewisham,April 2020,22885,2020-04-01
Lewisham,May 2020,32875,2020-05-01
Lewisham,June 2020,34480,2020-06-01
Lewisham,July 2020,35269,2020-07-01
Lewisham,August 2020,35999,2020-08-01
Lewisham,September 2020,36875,2020-09-01
Lewisham,October 2020,37524,2020-10-01
Lewisham,November 2020,38813,2020-11-01
Lewisham,December 2020,39557,2020-12-01
Lewisham,January 2021,39755,2021-01-01
Lewisham,February 2021,39994,2021-02-01
Lewisham,March 2021,40248,2021-03-01
Lewisham,April 2021,40126,2021-04-01
Lewisham,May 2021,40039,2021-05-01
Lewisham,June 2021,39929,2021-06-01
Lewisham,July 2021,39552,2021-07-01
Lewisham,August 2021,39184,2021-08-01
Lewisham,September 2021,38688,2021-09-01
Lewisham,October 2021,38030,2021-10-01
Lewisham,November 2021,37410,2021-11-01
Lewisham,December 2021,36907,2021-12-01
Lewisham,January 2022,36393,2022-01-01
Lewisham,February 2022,36264,2022-02-01
Lewisham,March 2022,35956,2022-03-01
Lewisham,April 2022,35870,2022-04-01
Lewisham,May 2022,35703,2022-05-01
Lewisham,June 2022,35675,2022-06-01
Lewisham,July 2022,36000,2022-07-01
Lewisham,August 2022,36177,2022-08-01
Lewisham,September 2022,36239,2022-09-01
Lewisham,October 2022,36468,2022-10-01
Lewisham,November 2022,36464,2022-11-01
Lewisham,December 2022,36497,2022-12-01
Lewisham,January 2023,36562,2023-01-01
Lewisham,February 2023,36757,2023-02-01
Lewisham,March 2023,36858,2023-03-01
Lewisham,April 2023,37192,2023-04-01
